time,open,high,low,close,volume
1779483300,2.29646,2.29666,2.29477,2.29538,243
1779656400,2.28657,2.28667,2.28657,2.28667,4
1779656700,2.2889,2.2889,2.2857,2.2857,66
1779657000,2.28466,2.28728,2.28466,2.28622,98
1779657300,2.28658,2.28744,2.28658,2.28729,102
1779657600,2.28698,2.28818,2.28656,2.28788,166
1779657900,2.28779,2.28815,2.28774,2.28808,126
1779658200,2.28815,2.28897,2.2879,2.28897,126
1779658500,2.28897,2.28957,2.28897,2.28957,73
1779658800,2.28913,2.2899,2.28913,2.28972,84
1779659100,2.28899,2.28903,2.28746,2.28769,204
1779659400,2.28771,2.28922,2.28771,2.28922,80
1779659700,2.28912,2.28986,2.28881,2.28957,97
1779660000,2.29045,2.29459,2.29038,2.29456,625
1779660300,2.29448,2.29474,2.29367,2.29427,454
1779660600,2.29427,2.29457,2.29412,2.29444,380
1779660900,2.29451,2.29451,2.29389,2.29429,381
1779661200,2.29429,2.29517,2.29414,2.29493,379
1779661500,2.29491,2.29578,2.29481,2.29578,416
1779661800,2.29577,2.29577,2.29497,2.29522,533
1779662100,2.29514,2.29549,2.29495,2.2953,475
1779662400,2.2953,2.29532,2.2942,2.29431,386
1779662700,2.29434,2.29446,2.29331,2.29353,359
1779663000,2.29349,2.29379,2.29316,2.2932,368
1779663300,2.2932,2.2944,2.2932,2.29416,332
1779663600,2.29413,2.29414,2.29331,2.29414,486
1779663900,2.2941,2.29432,2.29384,2.294,340
1779664200,2.29404,2.29423,2.29394,2.29421,264
1779664500,2.29421,2.29445,2.29409,2.29409,219
1779664800,2.29409,2.29444,2.29401,2.29424,240
1779665100,2.29424,2.29445,2.29399,2.29421,264
1779665400,2.2942,2.2946,2.29414,2.2946,340
1779665700,2.2946,2.2946,2.29423,2.29423,302
1779666000,2.2942,2.2948,2.29417,2.29477,362
1779666300,2.29473,2.29504,2.29465,2.29492,467
1779666600,2.29482,2.29534,2.29482,2.29513,433
1779666900,2.29513,2.29577,2.29509,2.29554,542
1779667200,2.29557,2.29641,2.29543,2.29622,640
1779667500,2.29618,2.29622,2.29553,2.29562,528
1779667800,2.29567,2.29569,2.29525,2.29529,544
1779668100,2.29531,2.29574,2.29514,2.29546,572
1779668400,2.2955,2.29562,2.29459,2.29467,513
1779668700,2.29471,2.29507,2.29442,2.29449,536
1779669000,2.29447,2.29449,2.29406,2.29424,476
1779669300,2.29424,2.29445,2.29394,2.29394,424
1779669600,2.29416,2.29475,2.29415,2.29475,445
1779669900,2.29463,2.29463,2.29369,2.2939,601
1779670200,2.29394,2.29443,2.29384,2.29438,705
1779670500,2.29441,2.29545,2.29432,2.29522,875
1779670800,2.29521,2.29521,2.29454,2.2946,864
1779671100,2.29458,2.29479,2.29419,2.29468,655
1779671400,2.2946,2.29483,2.29386,2.29386,638
1779671700,2.29386,2.29446,2.29365,2.29441,550
1779672000,2.29441,2.2945,2.2941,2.2942,466
1779672300,2.2942,2.29424,2.29339,2.29339,521
1779672600,2.29351,2.29422,2.2934,2.29361,697
1779672900,2.29361,2.29376,2.29327,2.29374,455
1779673200,2.29374,2.29427,2.29355,2.29426,536
1779673500,2.29427,2.29447,2.29392,2.29405,571
1779673800,2.29407,2.29459,2.2939,2.29442,424
1779674100,2.29437,2.29455,2.29411,2.29455,569
1779674400,2.29448,2.29463,2.29426,2.29444,441
1779674700,2.29448,2.29457,2.29365,2.2938,543
1779675000,2.2938,2.29426,2.29372,2.29405,447
1779675300,2.29401,2.29426,2.29387,2.29393,462
1779675600,2.29397,2.29404,2.29319,2.29344,436
1779675900,2.29344,2.29388,2.29326,2.29367,445
1779676200,2.29363,2.29385,2.2934,2.29385,411
1779676500,2.29383,2.29409,2.29354,2.29403,381
1779676800,2.29394,2.29422,2.2939,2.2941,343
1779677100,2.29411,2.29441,2.29399,2.29427,436
1779677400,2.29429,2.29463,2.29421,2.29463,340
1779677700,2.29465,2.29505,2.29462,2.29485,471
1779678000,2.29489,2.29491,2.29452,2.29459,471
1779678300,2.29453,2.29488,2.29443,2.29463,439
1779678600,2.29463,2.29485,2.29446,2.29481,391
1779678900,2.29477,2.29511,2.29474,2.29492,460
1779679200,2.29488,2.29532,2.29467,2.29528,514
1779679500,2.29526,2.29528,2.29477,2.29492,466
1779679800,2.2948,2.29519,2.29478,2.29513,451
1779680100,2.29515,2.29529,2.2949,2.29524,476
1779680400,2.29524,2.29544,2.29518,2.29539,381
1779680700,2.29539,2.29556,2.29526,2.29545,395
1779681000,2.29545,2.29562,2.29529,2.29533,439
1779681300,2.29535,2.29594,2.29527,2.29546,463
1779681600,2.29544,2.2955,2.295,2.29525,403
1779681900,2.29525,2.29562,2.29499,2.29548,356
1779682200,2.29544,2.29577,2.29535,2.29564,370
1779682500,2.29562,2.29568,2.29526,2.29561,355
1779682800,2.29559,2.29566,2.29505,2.29517,376
1779683100,2.29521,2.29525,2.29454,2.29472,327
1779683400,2.29473,2.2948,2.29442,2.29451,417
1779683700,2.29452,2.2946,2.29403,2.29418,307
1779684000,2.29418,2.29447,2.29387,2.29428,256
1779684300,2.29428,2.29439,2.29394,2.29415,278
1779684600,2.29415,2.2945,2.29385,2.29443,372
1779684900,2.29447,2.29476,2.29407,2.29444,421
1779685200,2.29457,2.29458,2.2941,2.29428,510
1779685500,2.2943,2.29484,2.29408,2.29468,480
1779685800,2.29468,2.29485,2.29437,2.29446,482
1779686100,2.29446,2.29464,2.29425,2.29433,373
1779686400,2.29433,2.29484,2.29432,2.29484,257
1779686700,2.29484,2.29541,2.29475,2.29531,372
1779687000,2.29527,2.29552,2.29493,2.29508,453
1779687300,2.2951,2.29514,2.29471,2.29489,318
1779687600,2.2949,2.29497,2.29435,2.29473,371
1779687900,2.29477,2.29527,2.29451,2.29515,377
1779688200,2.29515,2.29562,2.29511,2.29532,413
1779688500,2.29538,2.29559,2.295,2.29524,455
