time,open,high,low,close,volume
1779483300,113.483,113.489,113.46,113.466,232
1779656400,113.565,113.579,113.565,113.565,12
1779656700,113.559,113.578,113.524,113.548,81
1779657000,113.573,113.576,113.568,113.568,4
1779657300,113.585,113.619,113.581,113.586,38
1779657600,113.598,113.598,113.597,113.598,5
1779657900,113.598,113.598,113.598,113.598,1
1779658200,113.592,113.593,113.592,113.593,4
1779658500,113.614,113.615,113.612,113.612,6
1779658800,113.668,113.668,113.668,113.668,2
1779659100,113.614,113.614,113.614,113.614,7
1779659400,113.61,113.61,113.599,113.601,8
1779659700,113.595,113.602,113.595,113.598,8
1779660000,113.718,113.771,113.696,113.771,188
1779660300,113.731,113.731,113.709,113.716,25
1779660600,113.705,113.72,113.705,113.713,59
1779660900,113.728,113.751,113.723,113.723,109
1779661200,113.739,113.747,113.737,113.74,40
1779661500,113.713,113.713,113.709,113.71,23
1779661800,113.676,113.676,113.653,113.657,71
1779662100,113.673,113.674,113.672,113.672,7
1779662400,113.679,113.685,113.677,113.679,42
1779662700,113.682,113.696,113.682,113.694,66
1779663000,113.732,113.734,113.729,113.731,23
1779663300,113.72,113.722,113.72,113.72,8
1779663600,113.734,113.752,113.73,113.75,79
1779663900,113.754,113.758,113.748,113.75,53
1779664200,113.756,113.761,113.754,113.759,19
1779664500,113.744,113.745,113.743,113.744,19
1779664800,113.746,113.747,113.745,113.745,14
1779665100,113.75,113.75,113.75,113.75,2
1779665400,113.751,113.751,113.738,113.74,28
1779665700,113.761,113.767,113.761,113.766,30
1779666000,113.783,113.783,113.777,113.782,18
1779666300,113.794,113.804,113.788,113.795,76
1779666600,113.787,113.787,113.772,113.772,9
1779666900,113.781,113.79,113.78,113.786,34
1779667200,113.759,113.771,113.758,113.761,108
1779667500,113.719,113.729,113.718,113.726,33
1779667800,113.747,113.756,113.747,113.75,25
1779668100,113.744,113.744,113.735,113.742,21
1779668400,113.731,113.736,113.728,113.735,33
1779668700,113.791,113.792,113.78,113.786,22
1779669000,113.795,113.808,113.795,113.8,94
1779669300,113.764,113.77,113.764,113.769,12
1779669600,113.781,113.781,113.769,113.769,43
1779669900,113.747,113.76,113.745,113.759,74
1779670200,113.801,113.806,113.795,113.803,50
1779670500,113.817,113.821,113.806,113.806,33
1779670800,113.748,113.773,113.74,113.741,122
1779671100,113.775,113.782,113.774,113.779,65
1779671400,113.782,113.792,113.782,113.789,42
1779671700,113.826,113.834,113.818,113.822,101
1779672000,113.821,113.821,113.821,113.821,2
1779672300,113.821,113.833,113.82,113.828,43
1779672600,113.876,113.876,113.854,113.854,40
1779672900,113.824,113.829,113.824,113.828,22
1779673200,113.863,113.865,113.863,113.865,8
1779673500,113.863,113.867,113.856,113.86,82
1779673800,113.861,113.861,113.852,113.855,35
1779674100,113.849,113.854,113.848,113.851,20
1779674400,113.854,113.866,113.853,113.856,60
1779674700,113.871,113.871,113.866,113.866,40
1779675000,113.89,113.897,113.89,113.896,42
1779675300,113.878,113.881,113.871,113.877,60
1779675600,113.882,113.882,113.879,113.879,10
1779675900,113.91,113.915,113.909,113.911,45
1779676200,113.899,113.899,113.889,113.896,55
1779676500,113.896,113.903,113.894,113.899,27
1779676800,113.869,113.869,113.863,113.864,17
1779677100,113.873,113.875,113.864,113.866,34
1779677400,113.856,113.857,113.856,113.856,9
1779677700,113.824,113.824,113.806,113.809,38
1779678000,113.801,113.824,113.801,113.813,96
1779678300,113.816,113.816,113.813,113.813,3
1779678600,113.798,113.802,113.796,113.802,24
1779678900,113.801,113.803,113.793,113.794,40
1779679200,113.799,113.814,113.799,113.812,16
1779679500,113.786,113.789,113.784,113.789,21
1779679800,113.802,113.808,113.8,113.801,53
1779680100,113.805,113.813,113.803,113.804,32
1779680400,113.78,113.78,113.772,113.772,18
1779680700,113.784,113.785,113.784,113.785,3
1779681000,113.779,113.784,113.776,113.78,23
1779681300,113.786,113.788,113.78,113.78,31
1779681600,113.783,113.789,113.78,113.783,63
1779681900,113.796,113.798,113.795,113.798,5
1779682200,113.793,113.793,113.793,113.793,1
1779682500,113.793,113.797,113.785,113.796,64
1779682800,113.8,113.8,113.796,113.799,10
1779683100,113.821,113.821,113.819,113.819,4
1779683400,113.85,113.851,113.848,113.85,10
1779683700,113.859,113.872,113.859,113.867,30
1779684000,113.873,113.873,113.868,113.871,18
1779684300,113.887,113.888,113.887,113.887,5
1779684600,113.899,113.902,113.898,113.902,13
1779684900,113.9,113.9,113.896,113.9,18
1779685200,113.881,113.895,113.881,113.885,78
1779685500,113.904,113.904,113.898,113.902,24
1779685800,113.89,113.901,113.89,113.894,35
1779686100,113.909,113.915,113.908,113.915,15
1779686400,113.91,113.911,113.909,113.911,7
1779686700,113.89,113.897,113.89,113.897,39
1779687000,113.877,113.877,113.86,113.861,70
1779687300,113.895,113.898,113.895,113.895,20
1779687600,113.904,113.904,113.9,113.902,10
1779687900,113.905,113.905,113.9,113.904,8
1779688200,113.881,113.881,113.873,113.875,34
1779688500,113.87,113.873,113.867,113.87,27
1779688800,113.864,113.893,113.862,113.89,132
1779689100,113.882,113.882,113.879,113.879,4
1779689400,113.896,113.903,113.896,113.903,51
1779689700,113.911,113.912,113.894,113.895,66
1779690000,113.875,113.879,113.875,113.877,19
1779690300,113.884,113.884,113.882,113.883,8
1779690600,113.872,113.872,113.856,113.862,104
1779690900,113.89,113.894,113.888,113.891,21
1779691200,113.899,113.899,113.891,113.891,9
1779691500,113.873,113.878,113.873,113.876,37
1779691800,113.877,113.882,113.875,113.876,26
1779692100,113.884,113.884,113.879,113.881,31
1779692400,113.873,113.878,113.867,113.87,101
1779692700,113.873,113.879,113.872,113.872,20
1779693000,113.833,113.842,113.825,113.842,31
1779693300,113.858,113.86,113.846,113.848,74
1779693600,113.758,113.758,113.756,113.756,5
1779693900,113.792,113.797,113.786,113.793,59
1779694200,113.827,113.837,113.819,113.837,59
1779694500,113.843,113.852,113.843,113.851,22
1779694800,113.829,113.831,113.829,113.831,3
1779695100,113.811,113.82,113.811,113.817,44
1779695400,113.821,113.821,113.815,113.816,33
1779695700,113.809,113.816,113.809,113.814,26
1779696000,113.835,113.835,113.82,113.82,81
1779696300,113.819,113.823,113.819,113.823,5
1779696600,113.831,113.836,113.831,113.834,42
1779696900,113.821,113.831,113.807,113.83,249
1779697200,113.842,113.849,113.842,113.846,33
1779697500,113.83,113.833,113.827,113.827,30
1779697800,113.833,113.838,113.829,113.834,51
