time,open,high,low,close,volume
1779483300,1.27975,1.2798,1.27847,1.27847,15
1779656400,1.27765,1.27765,1.27765,1.27765,2
1779656700,1.27729,1.27754,1.27721,1.27737,72
1779657000,1.2773,1.2775,1.27729,1.27735,36
1779657300,1.27722,1.27735,1.2767,1.27706,218
1779657600,1.27708,1.27766,1.27706,1.2776,276
1779657900,1.27759,1.27763,1.27718,1.2775,190
1779658200,1.27748,1.2777,1.27719,1.27735,278
1779658500,1.27734,1.27744,1.27734,1.27739,24
1779658800,1.2774,1.27743,1.27736,1.2774,126
1779659100,1.27741,1.27743,1.27739,1.27741,40
1779659400,1.27742,1.27781,1.2774,1.27767,128
1779659700,1.27768,1.27867,1.27765,1.27854,56
1779660000,1.27839,1.27857,1.27768,1.27788,231
1779660300,1.27787,1.2781,1.27753,1.27807,196
1779660600,1.27807,1.27819,1.27806,1.27818,71
1779660900,1.27816,1.27827,1.27802,1.27827,154
1779661200,1.27826,1.27838,1.27772,1.27795,288
1779661500,1.27794,1.27801,1.27756,1.27772,354
1779661800,1.2777,1.27776,1.27746,1.27756,343
1779662100,1.27756,1.2776,1.27742,1.27742,255
1779662400,1.27742,1.27755,1.27732,1.27733,189
1779662700,1.27733,1.2774,1.27729,1.27739,205
1779663000,1.27732,1.27748,1.27731,1.27735,161
1779663300,1.27736,1.27743,1.27731,1.27739,208
1779663600,1.27738,1.27739,1.27717,1.27722,216
1779663900,1.27723,1.27728,1.277,1.27704,318
1779664200,1.27712,1.27724,1.27708,1.27721,231
1779664500,1.27719,1.27725,1.27712,1.27719,223
1779664800,1.2772,1.27722,1.27713,1.27721,258
1779665100,1.27726,1.27732,1.27715,1.27717,138
1779665400,1.27723,1.27742,1.27712,1.27724,198
1779665700,1.27725,1.27725,1.27707,1.27707,163
1779666000,1.27709,1.27719,1.27695,1.277,224
1779666300,1.27701,1.27713,1.27693,1.27706,285
1779666600,1.27702,1.27723,1.27697,1.27706,302
1779666900,1.27706,1.27729,1.27706,1.27728,226
1779667200,1.2771,1.27739,1.27702,1.27739,272
1779667500,1.27741,1.27743,1.27704,1.27719,389
1779667800,1.27716,1.27716,1.27696,1.27698,320
1779668100,1.27702,1.27713,1.27695,1.27704,422
1779668400,1.27703,1.27707,1.27686,1.27696,336
1779668700,1.27695,1.27715,1.27681,1.27685,318
1779669000,1.27684,1.27698,1.27662,1.27691,266
1779669300,1.27691,1.27698,1.27683,1.27695,285
1779669600,1.27696,1.27717,1.27689,1.27711,249
1779669900,1.27712,1.27712,1.27649,1.27661,297
1779670200,1.27662,1.27668,1.27628,1.27646,393
1779670500,1.27645,1.27694,1.27645,1.27686,515
1779670800,1.27687,1.2769,1.27663,1.2768,436
1779671100,1.27679,1.27722,1.27667,1.2771,424
1779671400,1.27709,1.27715,1.27655,1.27656,395
1779671700,1.27657,1.27657,1.27623,1.27628,384
1779672000,1.27628,1.27637,1.27608,1.27617,447
1779672300,1.27621,1.27632,1.27596,1.27602,355
1779672600,1.27604,1.27659,1.27595,1.27649,465
1779672900,1.27648,1.2766,1.27623,1.2766,411
1779673200,1.27659,1.27663,1.27635,1.27661,345
1779673500,1.27663,1.27672,1.27651,1.27666,326
1779673800,1.27667,1.27681,1.27662,1.27676,321
1779674100,1.27676,1.27686,1.2766,1.27672,312
1779674400,1.27671,1.27688,1.27668,1.27686,470
1779674700,1.27682,1.27687,1.27646,1.27663,472
1779675000,1.27662,1.27674,1.2765,1.27664,360
1779675300,1.27663,1.27673,1.27654,1.27666,323
1779675600,1.27667,1.27667,1.27642,1.27652,305
1779675900,1.27653,1.27665,1.2764,1.27642,384
1779676200,1.27641,1.2766,1.27639,1.27656,220
1779676500,1.27655,1.27657,1.27644,1.27655,271
1779676800,1.27652,1.27664,1.27649,1.27654,280
1779677100,1.27653,1.27661,1.2764,1.27653,301
1779677400,1.27654,1.27676,1.27654,1.27676,321
1779677700,1.27677,1.27704,1.27676,1.27701,451
1779678000,1.277,1.27702,1.27675,1.27698,339
1779678300,1.27696,1.27702,1.2768,1.27682,192
1779678600,1.27682,1.27692,1.27676,1.27688,358
1779678900,1.27692,1.27698,1.27684,1.27693,313
1779679200,1.2769,1.27694,1.2767,1.27693,373
1779679500,1.27692,1.27707,1.27685,1.27701,374
1779679800,1.27699,1.2771,1.27689,1.27701,321
1779680100,1.27702,1.2771,1.27685,1.27701,358
1779680400,1.27702,1.27717,1.27696,1.27716,324
1779680700,1.27718,1.27732,1.27712,1.27731,316
1779681000,1.2773,1.27734,1.27717,1.27724,310
1779681300,1.27725,1.27733,1.27716,1.27726,300
1779681600,1.27726,1.2773,1.27711,1.27722,375
1779681900,1.27721,1.27729,1.2771,1.27727,294
1779682200,1.27728,1.27729,1.27709,1.27728,178
1779682500,1.27729,1.27729,1.27708,1.2772,260
1779682800,1.27716,1.27722,1.27706,1.27717,246
1779683100,1.27717,1.27722,1.27706,1.27712,182
1779683400,1.27711,1.27712,1.27695,1.27698,342
1779683700,1.27698,1.27708,1.27692,1.277,186
1779684000,1.27701,1.27702,1.27686,1.27697,220
1779684300,1.27696,1.27697,1.27675,1.27682,265
1779684600,1.27687,1.27687,1.27665,1.27676,296
1779684900,1.27677,1.27681,1.27658,1.27658,247
1779685200,1.27672,1.27685,1.27664,1.2768,208
1779685500,1.27681,1.27683,1.27663,1.27669,323
1779685800,1.27669,1.27686,1.27659,1.27672,297
1779686100,1.27672,1.27681,1.27664,1.27678,234
1779686400,1.27676,1.27693,1.27671,1.27693,331
1779686700,1.27694,1.27697,1.27676,1.27676,322
1779687000,1.27677,1.27687,1.27668,1.27682,309
1779687300,1.27683,1.27685,1.27673,1.27681,298
1779687600,1.27682,1.27698,1.2768,1.27697,222
1779687900,1.27696,1.27711,1.27685,1.2771,306
1779688200,1.27711,1.27717,1.277,1.27716,230
1779688500,1.27718,1.27735,1.2771,1.27728,254
1779688800,1.27731,1.2774,1.27722,1.27734,363
1779689100,1.27733,1.27739,1.27722,1.2773,232
1779689400,1.27729,1.27729,1.27714,1.27718,187
1779689700,1.27717,1.27732,1.27717,1.27732,145
1779690000,1.27735,1.27743,1.27721,1.27722,209
1779690300,1.27721,1.27736,1.27715,1.27735,222
1779690600,1.27737,1.27743,1.27723,1.27725,244
1779690900,1.27724,1.2773,1.27717,1.27724,175
1779691200,1.27725,1.27731,1.27722,1.27726,159
1779691500,1.27727,1.27734,1.27721,1.27726,168
1779691800,1.27727,1.27735,1.2772,1.27722,217
1779692100,1.27721,1.27727,1.2771,1.27711,283
1779692400,1.2771,1.2772,1.27708,1.27716,268
1779692700,1.27717,1.27746,1.27717,1.27738,218
1779693000,1.27739,1.27744,1.2773,1.27743,214
1779693300,1.27744,1.2781,1.27738,1.27797,369
1779693600,1.27796,1.27815,1.27793,1.27802,444
1779693900,1.27801,1.27809,1.27792,1.27799,242
1779694200,1.27794,1.27802,1.2775,1.27784,440
1779694500,1.27781,1.27791,1.27772,1.27787,273
1779694800,1.27786,1.27789,1.2777,1.27779,266
1779695100,1.2778,1.27785,1.27772,1.27776,226
1779695400,1.27777,1.2778,1.27761,1.27762,213
1779695700,1.27761,1.27762,1.2775,1.27751,245
1779696000,1.27745,1.27778,1.27745,1.27771,314
1779696300,1.2777,1.27775,1.27732,1.27734,221
1779696600,1.27733,1.27739,1.27725,1.27734,225
1779696900,1.27736,1.27751,1.27733,1.27744,161
1779697200,1.27743,1.27753,1.27739,1.27752,167
1779697500,1.27751,1.27759,1.27746,1.2775,204
