time,open,high,low,close,volume
1736200800,1.03802,1.04345,1.03395,1.03398,91767
1736287200,1.03394,1.03577,1.02732,1.03191,94273
1736373600,1.03132,1.03216,1.02837,1.02994,68880
1736460000,1.03011,1.03119,1.02134,1.02424,93180
1736719200,1.02281,1.02499,1.01773,1.02419,95560
1736805600,1.02416,1.03084,1.02379,1.03077,97630
1736892000,1.03049,1.03544,1.02595,1.02902,86904
1736978400,1.02854,1.03152,1.02609,1.03019,93594
1737064800,1.02966,1.03306,1.02653,1.027,85114
1737324000,1.0275,1.04343,1.02663,1.04168,90710
1737410400,1.04125,1.04354,1.0342,1.04234,111855
1737496800,1.04261,1.04573,1.03926,1.04093,83898
1737583200,1.041,1.04381,1.03721,1.04151,84932
1737669600,1.04122,1.05215,1.04116,1.04942,96635
1737928800,1.04618,1.05331,1.04538,1.04914,106594
1738015200,1.04874,1.04933,1.04138,1.04305,97135
1738101600,1.04244,1.04437,1.03824,1.04196,96299
1738188000,1.04182,1.04677,1.03862,1.03919,91769
1738274400,1.03819,1.0434,1.03503,1.03578,110260
1738533600,1.02528,1.03499,1.0211,1.03426,148937
1738620000,1.03392,1.03877,1.02723,1.03789,103432
1738706400,1.03742,1.04425,1.03696,1.04025,95604
1738792800,1.03995,1.04056,1.03526,1.03828,85458
1738879200,1.03821,1.0409,1.03054,1.03279,92346
1739138400,1.02934,1.03364,1.02814,1.03066,76743
1739224800,1.0303,1.03812,1.02923,1.03612,72959
1739311200,1.03579,1.04298,1.03171,1.03832,97060
1739397600,1.03778,1.04665,1.03736,1.04654,107000
1739484000,1.046,1.05144,1.04474,1.04911,86233
1739743200,1.04845,1.05065,1.04672,1.04831,59568
1739829600,1.04772,1.04863,1.04352,1.04454,76621
1739916000,1.04421,1.04614,1.04009,1.04219,80971
1740002400,1.0417,1.05035,1.04169,1.05012,80846
1740088800,1.04956,1.05056,1.04494,1.04572,83495
1740348000,1.0471,1.05283,1.04528,1.04677,96261
1740434400,1.04626,1.05193,1.04564,1.05148,91702
1740520800,1.05098,1.05288,1.04751,1.04848,92595
1740607200,1.04794,1.04926,1.03965,1.03979,92276
1740693600,1.03938,1.042,1.036,1.03739,98578
1740952800,1.03954,1.05038,1.03887,1.04878,105949
1741039200,1.04837,1.0627,1.04712,1.06251,129301
1741125600,1.0621,1.07968,1.06021,1.07892,140611
1741212000,1.07857,1.08533,1.07658,1.07838,133915
1741298400,1.078,1.08889,1.07791,1.08321,120452
1741554000,1.08254,1.08747,1.08051,1.08354,113193
1741640400,1.08318,1.09474,1.0826,1.09193,113383
1741726800,1.09175,1.09299,1.08757,1.08871,107921
1741813200,1.08866,1.08973,1.08225,1.08514,100256
1741899600,1.08468,1.09127,1.08307,1.08802,99130
1742158800,1.08706,1.09295,1.08686,1.09214,82768
1742245200,1.09178,1.09547,1.08925,1.09447,79829
1742331600,1.09416,1.09461,1.08606,1.09025,84846
1742418000,1.08988,1.09176,1.08147,1.08533,82958
1742504400,1.08483,1.08613,1.07977,1.08124,77223
1742763600,1.08116,1.08584,1.07817,1.08008,86369
1742850000,1.07999,1.08302,1.07771,1.07913,80140
1742936400,1.07879,1.08028,1.07435,1.07525,83473
1743022800,1.07536,1.08212,1.0733,1.08018,80200
1743109200,1.07989,1.08448,1.07646,1.08306,70610
1743368400,1.08203,1.08494,1.07841,1.08149,80516
1743454800,1.08183,1.08301,1.07783,1.07924,78728
1743541200,1.07903,1.09241,1.07802,1.08603,81929
1743627600,1.08451,1.11459,1.08052,1.10511,155460
1743714000,1.10448,1.11078,1.09248,1.09636,179760
1743973200,1.08909,1.10499,1.088,1.09057,193554
1744059600,1.0904,1.09918,1.08891,1.09578,148292
1744146000,1.0953,1.10951,1.09136,1.09474,200162
1744232400,1.0949,1.12416,1.09429,1.12017,165542
1744318800,1.11883,1.14736,1.1182,1.13552,196074
1744578000,1.13103,1.14245,1.1296,1.13495,136161
1744664400,1.13445,1.13789,1.12642,1.12812,110972
1744750800,1.12797,1.14128,1.12797,1.13985,132165
1744837200,1.13917,1.14093,1.13353,1.13634,116962
1744923600,1.1361,1.13975,1.13586,1.13929,102190
1745182800,1.13964,1.15733,1.13799,1.15129,117325
1745269200,1.15141,1.15474,1.14175,1.14206,125438
1745355600,1.14189,1.14399,1.13081,1.13145,143724
1745442000,1.13095,1.13979,1.13095,1.13888,103936
1745528400,1.13844,1.13914,1.1316,1.13595,95499
1745787600,1.13662,1.14249,1.13296,1.14216,90774
1745874000,1.14167,1.14217,1.13703,1.13828,97221
1745960400,1.13829,1.13996,1.13173,1.13292,106764
1746046800,1.13261,1.13411,1.12659,1.129,96527
1746133200,1.1287,1.1381,1.12743,1.12993,114801
1746392400,1.13042,1.13649,1.12929,1.13144,98353
1746478800,1.1314,1.13812,1.128,1.13685,100259
1746565200,1.13643,1.13779,1.12917,1.1301,117903
1746651600,1.12963,1.13364,1.1212,1.12279,115201
1746738000,1.12224,1.12929,1.11968,1.12497,90966
1746997200,1.11946,1.12429,1.10655,1.10859,128852
1747083600,1.10877,1.11948,1.10849,1.11849,100769
1747170000,1.11835,1.12659,1.11646,1.11716,111660
1747256400,1.11698,1.1228,1.11672,1.11835,95834
1747342800,1.11851,1.12197,1.11312,1.11649,88733
1747602000,1.11756,1.12884,1.11701,1.124,101441
1747688400,1.12342,1.12857,1.12182,1.12844,91942
1747774800,1.12817,1.13629,1.12801,1.1331,106831
1747861200,1.13242,1.13449,1.12559,1.12786,107746
1747947600,1.1279,1.13755,1.12788,1.1364,99236
1748206800,1.1363,1.14188,1.13608,1.13868,67597
1748293200,1.13809,1.14073,1.13234,1.1327,89118
1748379600,1.1324,1.13451,1.1284,1.12894,93065
1748466000,1.12885,1.13845,1.12107,1.13648,112708
1748552400,1.13638,1.13899,1.13127,1.13478,106433
1748811600,1.13398,1.14498,1.13382,1.14432,100541
1748898000,1.14368,1.14547,1.13642,1.13703,89486
1748984400,1.13694,1.14346,1.1357,1.14149,92099
1749070800,1.14113,1.14951,1.14047,1.1444,102535
1749157200,1.14423,1.14575,1.13717,1.13934,91859
1749416400,1.13885,1.14393,1.13866,1.14199,68985
1749502800,1.14154,1.14477,1.1373,1.14248,85497
1749589200,1.14208,1.14995,1.14054,1.14884,92399
1749675600,1.14835,1.16315,1.14815,1.15845,107004
1749762000,1.15796,1.16146,1.14891,1.15512,121074
1750021200,1.15247,1.16148,1.15211,1.15592,103403
1750107600,1.15575,1.158,1.14747,1.14799,104977
1750194000,1.14742,1.15303,1.1461,1.14832,104966
1750280400,1.1475,1.15003,1.14464,1.14965,83725
1750366800,1.14902,1.15441,1.14882,1.15212,91993
1750626000,1.14539,1.15817,1.14507,1.15783,122920
1750712400,1.15748,1.16415,1.15725,1.16084,111129
1750798800,1.15977,1.16651,1.15899,1.16596,88890
1750885200,1.16528,1.17448,1.16519,1.17013,107492
1750971600,1.16921,1.17537,1.16806,1.17208,100931
1751230800,1.1728,1.1788,1.17077,1.17877,98977
1751317200,1.17806,1.18298,1.17615,1.18052,95709
1751403600,1.18027,1.181,1.1747,1.17982,88581
1751490000,1.17949,1.18101,1.17172,1.17573,80462
1751500800,1.17991,1.18107,1.17169,1.17565,0
1751576400,1.17553,1.17876,1.17502,1.17736,74856
1751587200,1.17577,1.17877,1.17499,1.17667,0
1751673600,1.17702,1.17702,1.17702,1.17702,0
1751835600,1.17742,1.17903,1.16869,1.17083,87497
1751846400,1.17806,1.17902,1.16869,1.1708,0
1751922000,1.17061,1.17654,1.16826,1.1725,94284
1751932800,1.17079,1.17651,1.16827,1.17248,0
1752008400,1.17196,1.17294,1.16896,1.17222,86989
1752019200,1.17246,1.17291,1.16895,1.17185,0
1752094800,1.17162,1.17497,1.16627,1.17,80259
1752105600,1.17167,1.17495,1.16704,1.17005,0
1752181200,1.16997,1.1714,1.16648,1.16852,93526
1752192000,1.17006,1.17144,1.16647,1.16843,0
1752278400,1.1688,1.1688,1.1688,1.1688,0
1752440400,1.1659,1.16977,1.16543,1.16653,84379
1752451200,1.16648,1.16985,1.16536,1.1665,0
1752526800,1.1662,1.16928,1.15929,1.16022,85694
1752537600,1.16663,1.16927,1.15925,1.16019,0
1752613200,1.15967,1.17215,1.15624,1.16398,103777
1752624000,1.16007,1.17227,1.15621,1.16375,0
1752699600,1.16347,1.16425,1.1557,1.15975,83752
1752710400,1.16376,1.16423,1.15559,1.15961,0
1752786000,1.15919,1.16717,1.15819,1.1621,81522
1752796800,1.1594,1.16731,1.15899,1.16195,0
1752883200,1.16207,1.16207,1.16207,1.16207,0
1753045200,1.16234,1.17167,1.16145,1.1695,81384
1753056000,1.16268,1.17168,1.16143,1.16931,0
1753131600,1.16895,1.17605,1.1679,1.17541,78225
1753142400,1.1693,1.1761,1.16789,1.17539,0
1753218000,1.17531,1.17751,1.17109,1.17729,96757
1753228800,1.17538,1.1775,1.17108,1.17697,0
1753304400,1.17673,1.17886,1.17304,1.17489,92403
1753315200,1.17663,1.17885,1.17308,1.17465,0
1753390800,1.17439,1.17608,1.17029,1.17394,89270
1753401600,1.17427,1.17608,1.17032,1.17402,0
1753488000,1.17401,1.17409,1.17401,1.17409,0
1753650000,1.17516,1.17703,1.15848,1.15885,105218
1753660800,1.17551,1.17701,1.15852,1.1588,0
1753736400,1.15873,1.15994,1.15189,1.15452,101479
1753747200,1.15877,1.1599,1.15187,1.15466,0
1753822800,1.15449,1.15727,1.14002,1.14031,106244
1753833600,1.15458,1.15725,1.13998,1.14046,0
1753909200,1.14028,1.1461,1.13991,1.14135,104632
1753920000,1.1408,1.14614,1.14014,1.14149,0
1753995600,1.14127,1.15971,1.13917,1.15847,123590
1754006400,1.14146,1.15977,1.13914,1.15839,0
1754092800,1.15831,1.15904,1.15831,1.15904,0
1754254800,1.15852,1.15959,1.155,1.15723,113872
