time,open,high,low,close,volume
1779483300,0.58489,0.58489,0.58471,0.58471,48
1779656400,0.58724,0.58725,0.58682,0.58725,60
1779656700,0.58595,0.58739,0.58595,0.58739,16
1779657000,0.58706,0.58727,0.58684,0.58718,28
1779657300,0.58718,0.58718,0.58717,0.58718,11
1779657600,0.58717,0.58718,0.58705,0.58709,17
1779657900,0.5871,0.58712,0.58705,0.58705,15
1779658200,0.58706,0.58706,0.58684,0.58692,30
1779658500,0.58692,0.58704,0.58692,0.58697,25
1779658800,0.58696,0.58697,0.58694,0.58694,14
1779659100,0.58696,0.5871,0.58678,0.58688,89
1779659400,0.58687,0.58687,0.58666,0.58667,20
1779659700,0.58663,0.58669,0.58663,0.58664,18
1779660000,0.58709,0.58741,0.58696,0.58727,356
1779660300,0.58729,0.58748,0.58722,0.58746,238
1779660600,0.58745,0.58748,0.58729,0.58736,265
1779660900,0.58735,0.58751,0.58728,0.58738,240
1779661200,0.58739,0.58743,0.5872,0.58723,233
1779661500,0.58724,0.58748,0.58722,0.58729,224
1779661800,0.58731,0.58756,0.58731,0.58742,279
1779662100,0.58745,0.58745,0.58732,0.5874,277
1779662400,0.58741,0.58761,0.58725,0.58761,237
1779662700,0.5876,0.58787,0.5876,0.58787,216
1779663000,0.58788,0.58788,0.5877,0.58781,212
1779663300,0.58782,0.58782,0.5876,0.58775,161
1779663600,0.58776,0.58802,0.58776,0.58793,309
1779663900,0.58792,0.58797,0.58783,0.58794,231
1779664200,0.58794,0.58795,0.58784,0.58785,187
1779664500,0.58786,0.58786,0.58774,0.58779,129
1779664800,0.5878,0.58788,0.58773,0.58783,141
1779665100,0.58784,0.58784,0.58769,0.58774,196
1779665400,0.58775,0.58778,0.58761,0.58764,197
1779665700,0.58765,0.58775,0.58762,0.58775,171
1779666000,0.58774,0.58778,0.58759,0.58763,218
1779666300,0.58763,0.58765,0.5875,0.58755,299
1779666600,0.58753,0.58753,0.58736,0.58745,282
1779666900,0.58746,0.58746,0.58718,0.58721,348
1779667200,0.58718,0.58727,0.58694,0.587,420
1779667500,0.587,0.58722,0.58699,0.58721,334
1779667800,0.58723,0.58733,0.58714,0.58726,318
1779668100,0.58726,0.58733,0.58711,0.58732,331
1779668400,0.58731,0.58754,0.58724,0.58751,342
1779668700,0.58751,0.58756,0.58727,0.58755,361
1779669000,0.58756,0.5877,0.58749,0.58756,328
1779669300,0.58755,0.5876,0.58741,0.58754,269
1779669600,0.58754,0.58754,0.58728,0.58732,274
1779669900,0.58735,0.58797,0.58731,0.58786,415
1779670200,0.58786,0.58791,0.58774,0.58781,453
1779670500,0.58782,0.58784,0.58711,0.58725,510
1779670800,0.58726,0.58756,0.58725,0.5875,590
1779671100,0.58751,0.58768,0.58736,0.58743,442
1779671400,0.58744,0.58792,0.5873,0.5879,459
1779671700,0.58791,0.588,0.58776,0.58785,403
1779672000,0.58786,0.58791,0.58778,0.58787,326
1779672300,0.58788,0.58817,0.58784,0.58817,384
1779672600,0.58817,0.58817,0.58771,0.58785,469
1779672900,0.58786,0.58805,0.58785,0.58796,279
1779673200,0.58797,0.58798,0.58766,0.58769,366
1779673500,0.5877,0.58784,0.5876,0.58773,361
1779673800,0.58773,0.58773,0.5875,0.58757,268
1779674100,0.58757,0.58764,0.58744,0.58748,330
1779674400,0.58749,0.58756,0.58745,0.58749,326
1779674700,0.58749,0.5878,0.58748,0.58778,360
1779675000,0.58779,0.5878,0.58754,0.58758,322
1779675300,0.58761,0.58763,0.58749,0.58762,328
1779675600,0.58763,0.58784,0.58759,0.58781,282
1779675900,0.5878,0.58782,0.58763,0.58771,272
1779676200,0.58772,0.58778,0.58766,0.58769,274
1779676500,0.5877,0.58775,0.58758,0.5876,239
1779676800,0.5876,0.58762,0.58749,0.5876,219
1779677100,0.58761,0.58763,0.58745,0.58748,329
1779677400,0.58749,0.58752,0.58732,0.58734,245
1779677700,0.58732,0.58732,0.58712,0.58725,293
1779678000,0.58724,0.58737,0.5871,0.58721,293
1779678300,0.58722,0.58731,0.58715,0.58727,287
1779678600,0.58725,0.58729,0.58719,0.58723,272
1779678900,0.58723,0.58724,0.58708,0.58719,269
1779679200,0.58721,0.58732,0.58711,0.58714,319
1779679500,0.58715,0.58726,0.58713,0.58722,323
1779679800,0.5872,0.58726,0.58716,0.5872,312
