time,open,high,low,close,volume
1779618540,77092.34,77129.01,77088.94,77118.46,82
1779618600,77124.61,77126.44,77048.38,77073.75,66
1779618660,77020.12,77051.51,77013.57,77021.76,66
1779618720,76986,77013.28,76972.25,76993.27,100
1779618780,77020.06,77132.76,77019.99,77105.89,124
1779618840,77077.27,77077.27,77077.27,77077.27,2
1779618900,77119.88,77119.88,77114.21,77114.21,12
1779618960,77033.92,77049.42,77032.85,77047.1,32
1779619020,77065.52,77089.52,77053.5,77055.91,50
1779619080,77042.98,77111.91,77040.49,77097.61,78
1779619140,77081.58,77087.36,77079.99,77083.95,44
1779619200,77104.84,77112.34,77083.08,77103.56,84
1779619260,77096.36,77097.57,77077.13,77090.95,84
1779619320,77080.61,77084.8,77080.61,77084.8,8
1779619380,77080.44,77093.21,77050.18,77078.05,36
1779619440,77097.99,77102.16,77081.11,77083.22,34
1779619500,77087.72,77090.64,77080.16,77081.04,30
1779619560,77044.79,77044.95,77031.35,77035.32,62
1779619620,77054.57,77063.53,77050.29,77063.53,32
1779619680,77050.29,77050.29,77012.97,77017.42,82
1779619740,77037.47,77037.47,77037.47,77037.47,2
1779619800,77061.96,77068.02,77061.96,77068.02,14
1779619860,77042.65,77042.78,77038.68,77040.07,26
1779619920,77068.28,77088.19,77064.32,77075.9,40
1779619980,77092.71,77100.69,77083.39,77083.53,62
1779620040,77093.45,77093.45,77085.08,77089.05,34
1779620100,77050.68,77067.23,77044.88,77048.9,96
1779620160,77090.17,77090.17,77084.24,77084.24,4
1779620220,77083.95,77088.09,77083.95,77088.08,10
1779620280,77077.5,77079.1,77074.45,77074.48,22
1779620340,77082.21,77086.68,77082.21,77082.65,34
1779620400,77081.2,77110.86,77072.4,77109.44,72
1779620460,77129.83,77138.87,77126.89,77130.85,86
1779620520,77134.5,77180.32,77134.5,77180.32,108
1779620580,77162.07,77162.07,77162.07,77162.07,2
1779620640,77173.15,77173.15,77165.75,77170.17,12
1779620700,77183.89,77207.72,77183.89,77194.35,42
1779620760,77197.86,77216.16,77195.56,77207.95,38
1779620820,77197.53,77201.31,77193.54,77199.48,44
1779620880,77182.03,77215.67,77169.97,77186.25,64
1779620940,77158.03,77161.65,77147.48,77158.55,80
1779621000,77197.47,77197.47,77175.55,77176.34,12
1779621060,77183.5,77183.5,77176.68,77176.68,20
1779621120,77195.06,77216.73,77189.7,77216.73,36
1779621180,77225.94,77254.03,77225.94,77229.19,78
1779621240,77191.3,77194.85,77170.75,77187.55,74
1779621300,77188.34,77189.99,77181.12,77185.11,54
1779622320,77203.38,77205.06,77203.2,77203.2,10
1779622380,77204.84,77207.07,77191.76,77194.89,30
1779622500,77202.34,77206.13,77202.34,77206.13,10
1779622560,77185.98,77188.09,77179.71,77183.32,28
1779622620,77177.19,77181.71,77177.19,77181.07,26
1779622680,77143.88,77147.44,77135.59,77138.64,66
1779622740,77137.18,77150.82,77128.97,77137.71,46
1779622800,77140.9,77160.55,77135.57,77158.56,62
1779622860,77153.46,77160.84,77153.14,77157.17,48
1779622980,77115.05,77120.82,77104.5,77115.1,64
1779623040,77135.73,77142.21,77135.73,77142.21,52
1779623100,77152.22,77152.22,77152.22,77152.22,2
1779623160,77185.85,77185.85,77175.26,77179.22,16
1779623220,77185.08,77191.37,77181.01,77181.04,28
1779623280,77173.6,77178.17,77173.15,77178.15,46
1779623340,77177.05,77201.63,77161.63,77166.84,92
1779623400,77129.08,77153.5,77119.9,77149.28,118
1779623460,77152.87,77156.84,77152.87,77156.84,4
1779623520,77155.49,77160.74,77151.71,77154.95,16
1779623580,77154.86,77156.28,77150.4,77150.77,22
1779623640,77164.29,77187.34,77161.13,77184.64,60
1779623700,77167.95,77177.99,77167.86,77177.72,40
1779623760,77183.47,77215.31,77183.46,77214.81,64
1779623820,77193.95,77200.09,77169.42,77172.15,80
1779623880,77180.88,77180.92,77170.34,77175.31,54
1779623940,77180.18,77180.23,77180.17,77180.19,12
1779624000,77209.3,77221.02,77209.3,77214.88,42
1779624060,77191.75,77191.75,77182.2,77182.2,46
1779624120,77176.35,77176.36,77171.14,77171.14,28
1779624180,77153.62,77154.55,77148.11,77148.64,60
1779624240,77149.57,77157.35,77135.5,77145.47,98
1779624300,77153.3,77154.33,77153.3,77154.33,4
1779624360,77137.34,77143.64,77137.34,77143.64,14
1779624420,77136.42,77139.31,77129.02,77133,24
1779624480,77133.78,77133.79,77129.6,77129.6,46
1779624540,77128.58,77132.54,77102.51,77106.51,62
1779624600,77114.8,77125.18,77114.73,77122.48,52
1779624660,77106.03,77106.21,77092,77092.05,82
1779624720,77079.2,77079.8,77058.65,77065.14,98
1779624780,77082.38,77082.38,77082.15,77082.15,6
1779624840,77060.73,77064.8,77056.9,77057.17,14
1779624900,77099.53,77103.55,77099.53,77099.56,14
1779624960,77084.53,77087.35,77063.21,77063.21,66
1779625020,77020.01,77021.13,77005.93,77011.76,66
1779625080,77014.14,77019.24,76980.61,77008.73,82
1779625140,77013.58,77013.58,77007.04,77007.04,8
1779625200,76992.09,76992.09,76984.16,76990.98,26
1779625260,76971.26,77000.27,76971.26,76990.43,26
1779625320,76958.41,76967.73,76957.11,76967.58,42
1779625440,76963.04,76968.43,76962.52,76968.43,8
1779625500,76978.32,76982.09,76974.36,76981.39,22
1779625560,76993.16,76993.17,76984.15,76984.15,18
1779625620,76982.91,76987.73,76978.97,76987.73,30
1779625680,76988.39,76988.4,76977.74,76977.83,42
1779625740,76982.21,76986.49,76976.98,76985.56,64
1779625800,76975.82,76987.71,76967.94,76980.37,20
1779625860,77014.5,77022.65,76962.21,76975.5,40
1779625920,76987.33,76994.98,76981.06,76994.81,40
1779625980,76993.25,76997.23,76992.59,76996.59,28
1779626040,76962.27,76993.36,76932.49,76932.49,100
1779626100,76957.32,76957.32,76957.32,76957.32,2
1779626160,76971.01,76971.03,76971.01,76971.03,4
1779626220,76968.48,76971.6,76962.54,76971.6,26
1779626280,76969.48,76969.94,76940.73,76958.01,44
1779626340,76952.46,76967.23,76952.45,76966.99,38
1779626400,76976.04,76984.5,76962.17,76972.23,58
1779626520,76988.7,76991.38,76984.73,76991.18,48
1779626580,77005.1,77005.18,76997.47,77002.37,66
1779626640,77022.63,77022.65,77018.69,77022.65,6
1779626940,77001.14,77005.1,76987.59,76997.72,70
1779627000,76994.26,76998.03,76990.92,76993.84,44
1779627060,76985.5,76989.49,76985.4,76985.47,44
1779627120,76980.89,76980.9,76980.89,76980.9,4
1779627180,76993.06,76993.06,76989.09,76989.09,6
1779627240,76998.67,76999.17,76998.67,76999.1,16
1779627300,76984.99,76984.99,76978.16,76978.57,18
1779627360,76989.14,76989.26,76985.17,76985.17,24
1779627420,76983.8,76990.18,76983.8,76990.11,40
1779627480,76988.87,76997.74,76988.75,76996.42,32
1779627540,77017.9,77017.9,76999.23,77007.51,58
1779627600,77012.04,77023.87,77012.03,77021.93,14
1779627660,77007.18,77010.46,77006.5,77006.51,18
1779627720,76997.84,77001.89,76994.02,76994.02,28
1779627780,76993.86,76997.52,76993.33,76993.33,22
1779627840,76974.36,76990.93,76974.36,76990.48,46
1779627900,76996.05,76996.05,76977.65,76977.67,54
